time;lv Rx;lv Ry;lv Rz;lv Vx;lv Vy;lv Vz;sc Rx;sc Ry;sc Rz;sc Vx;sc Vy;sc Vz;rel dist;rel vel;stiff force
0.46;5736373.1607279945;-936067.0244005795;3292243.2373810885;-3438.6746906440017;2125.4445597001895;6595.855540861592;5736373.044491358;-936066.9525004036;3292243.460636663;-3438.877813532366;2125.5702048646467;6596.24567875776;0.2617702090869873;0.45744201070242607;0.0
0.47000000000000003;5736338.773597527;-936045.7698923929;3292309.19571636;-3438.75140276411;2125.4570775549355;6595.811513348307;5736338.655329662;-936045.6967357654;3292309.4228733135;-3438.9545256509014;2125.5827227184213;6596.201651241467;0.266344629200386;0.4574420071712182;0.0
0.48;5736304.385699941;-936024.5152590293;3292375.1536113527;-3438.8281144243506;2125.4695951254434;6595.767484952968;5736304.2654008465;-936024.4408459502;3292375.384669685;-3439.0312373095417;2125.595240287942;6596.157622843067;0.2709190493621577;0.45744200357930936;0.0
0.49;5736269.99703524;-936003.2605004914;3292441.1110660564;-3438.9048256247133;2125.4821124117125;6595.723455675582;5736269.874704917;-936003.1848309607;3292441.3460257673;-3439.107948508277;2125.6077575732065;6596.113593562567;0.2754934690464329;0.4574419999247734;0.0
0.5;5736235.60760343;-935982.005616782;3292507.068080463;-3438.981536365188;2125.4946294137408;6595.679425516154;5736235.483241878;-935981.9286907997;3292507.306941553;-3439.1846592470965;2125.6202745742135;6596.069563399975;0.28006788915983155;0.4574419962108381;0.0
0.51;5736201.217404515;-935960.750607904;3292573.024654564;-3439.058246645764;2125.507146131526;6595.635394474691;5736201.091011734;-935960.6724254701;3292573.2674170323;-3439.26136952599;2125.632791290961;6596.025532355294;0.2846423089244554;0.4574419924343236;0.0
0.52;5736166.826438499;-935939.4954738603;3292638.9807883496;-3439.134956466431;2125.519662565068;6595.591362551197;5736166.698014489;-935939.4160349749;3292639.227452197;-3439.338079344948;2125.645307723448;6595.981500428531;0.2892167290058784;0.45744198859771096;0.0
0.53;5736132.434705387;-935918.2402146537;3292704.936481812;-3439.2116658271793;2125.5321787143635;6595.54732974568;5736132.304250148;-935918.1595193166;3292705.187047038;-3439.4147887039585;2125.6578238716716;6595.937467619693;0.29379114913567445;0.457441984698968;0.0
0.54;5736098.042205184;-935896.984830287;3292770.891734942;-3439.2883747279975;2125.544694579411;6595.503296058145;5736097.9097187165;-935896.9028784983;3292771.146201547;-3439.4914976030122;2125.670339735631;6595.893433928785;0.29836556888390103;0.45744198074037684;0.0
0.55;5736063.648937894;-935875.729320763;3292836.8465477303;-3439.365083168876;2125.55721016021;6595.459261488598;5736063.514420198;-935875.6461125228;3292837.104915714;-3439.568206042099;2125.682855315324;6595.849399355813;0.30293998856817617;0.4574419767198093;0.0
0.56;5736029.254903521;-935854.4736860847;3292902.8009201684;-3439.4417911498044;2125.5697254567576;6595.415226037046;5736029.118354597;-935854.3892213929;3292903.0631895307;-3439.644914021208;2125.6953706107497;6595.805363900783;0.307514408284427;0.45744197263756325;0.0
0.5700000000000001;5735994.860102072;-935833.2179262548;3292968.754852248;-3439.518498670772;2125.582240469053;6595.371189703493;5735994.721521919;-935833.1322051116;3292969.021022989;-3439.721621540329;2125.707885621906;6595.7613275637;0.31208882838224733;0.45744196849444335;0.0
0.58;5735960.46453355;-935811.9620412763;3293034.7083439594;-3439.5952057317686;2125.5947551970935;6595.327152487946;5735960.3239221675;-935811.8750636815;3293034.978416079;-3439.7983285994515;2125.7204003487905;6595.717290344573;0.3166632480665225;0.4574419642907446;0.0
0.59;5735926.068197959;-935790.7060311519;3293100.6613952946;-3439.671912332784;2125.6072696408783;6595.28311439041;5735925.925555348;-935790.6177971056;3293100.9353687926;-3439.8750351985655;2125.7329147914024;6595.673252243404;0.3212376673856255;0.4574419600255212;0.0
